Program		Name		Description
-------------------------------------------
Python_Link.py,			Python Link,		Pygame testing sprite animation.
bowser.py,			Python Bowser,		Pygame testing sprite animation.
PygLatin.py,			PigLatin Translator,	Translate Words To PigLatin!
Matrix.bat,			Matrix Viewer,		Watch the Matrix in action
ctps.exe,			Catch The Pink Square, 	Game of Being Quick.
HeartPop.exe,			Heart Popup,		Little Something For the Wife.
numguesscpp.exe,		Number Guess c++,	c++ Version Of Number Guessing.
RPNCalculator.jar,		RPN Calculator,		Reverse Polish Notation Calculator.
StarInYourOwnBook.jar,		Star In Your Own Book,	Make A Custom HTML Book With Your Name.
compress.bat,			Huffman Compression,	Compress A Text File.
decompress.bat,			Huffman Decompression,	Decompress A Text File.
Extreme_Hotel_Viewer.jar,	Extreme Hotel Viewer,	Find Hotel Reservations from a 10'000 long list.
WordJumbler.jar,		Word Jumble,		Unscramble Random Words.
Extreme Hotel Booking.jar,	Extreme Hotel Booking,	Book Hotel Reservations.
